bedrooms,bathrooms,garden,street,price_pounds,nearest_station_name,nearest_station_miles,postcode_outer,tenure_freehold,tenure_leasehold
3.0,3.0,0,6500000.0,6500000,6500000.0,0.1,6500000.0,False,True
5.0,5.0,0,11071934.513219284,9450000,10355555.555555556,0.4,13234855.072463768,False,True
4.0,4.0,0,10318944.444444444,12846000,10517781.25,0.2,9848590.909090908,False,True
3.0,2.0,2,11071934.513219284,7950000,10355555.555555556,0.4,9915760.869565217,True,False
4.0,4.0,1,11071934.513219284,6500000,6500000.0,0.5,6500000.0,True,False
3.0,4.0,0,11071934.513219284,8201000,11555789.47368421,0.4,9693870.967741935,False,True
3.0,3.0,0,11071934.513219284,7618000,11352109.375,0.4,9693870.967741935,False,True
3.0,3.0,1,12685000.0,11795000,18819833.333333332,0.2,10902901.452554744,False,True
6.0,5.0,3,11071934.513219284,15500000,11352109.375,0.4,12944750.0,True,False
5.0,3.0,2,12464285.714285715,16950000,13016729.487179488,0.2,12067706.25,True,False
5.0,5.0,0,11071934.513219284,17500000,10355555.555555556,0.3,10100000.0,False,False
5.0,3.0,1,11071934.513219284,9250000,9814062.5,0.2,9915760.869565217,True,False
5.0,5.0,1,11071934.513219284,19500000,10355555.555555556,0.2,10902901.452554744,False,False
5.0,6.0,0,11870800.0,19750000,10746666.666666666,0.2,11820000.0,False,True
7.0,5.0,1,11071934.513219284,21500000,11800000.0,0.3,11514117.647058824,True,False
7.0,7.0,1,11071934.513219284,36000000,14365500.0,0.3,13577111.111111112,True,False
1.0,1.0,1,11071934.513219284,12500000,12637500.0,0.3,11402571.42857143,True,False
4.0,4.0,1,11071934.513219284,11950000,11352109.375,0.3,12944750.0,True,False
4.0,4.0,1,11071934.513219284,9250000,11798275.827586208,0.3,10902901.452554744,False,False
7.0,4.0,1,11071934.513219284,6500000,6250000.0,0.4,6500000.0,True,False
2.0,1.0,1,11071934.513219284,387500,387500.0,0.9,10902901.452554744,True,False
4.0,4.0,0,12923529.411764706,15000000,11798275.827586208,0.2,15933333.333333334,True,False
4.0,5.0,0,11071934.513219284,13450000,9814062.5,0.5,9915760.869565217,False,True
9.0,6.0,1,11071934.513219284,7950000,7950000.0,1.0,7150000.0,True,False
16.0,1.0,0,7350000.0,7350000,3499285.714285714,0.1,4072500.0,False,False
4.0,4.0,0,11071934.513219284,13000000,14365500.0,0.3,13577111.111111112,False,False
4.0,3.0,0,895000.0,895000,895000.0,4.4,895000.0,False,False
4.0,3.0,1,11500000.0,11500000,11500000.0,0.2,11500000.0,False,True
6.0,6.0,0,11071934.513219284,10500000,9814062.5,0.5,9915760.869565217,True,False
3.0,3.0,0,11071934.513219284,6750000,13016729.487179488,0.3,10902901.452554744,False,True
10.0,11.0,0,14333316.666666666,20000000,12154540.909090908,0.9,12644438.888888888,True,False
4.0,3.0,0,11071934.513219284,9750000,10355555.555555556,0.3,13234855.072463768,True,False
6.0,6.0,3,11071934.513219284,11950000,10355555.555555556,0.5,9915760.869565217,True,False
7.0,1.0,1,11071934.513219284,16500000,11725000.0,0.4,16500000.0,True,False
5.0,5.0,1,11071934.513219284,15950000,12804545.454545455,0.2,9653846.153846154,False,True
3.0,3.0,1,14172500.0,13395000,11555789.47368421,0.3,9693870.967741935,False,True
1.0,1.0,1,11071934.513219284,19500000,10355555.555555556,0.3,13234855.072463768,True,False
5.0,5.0,1,11071934.513219284,12500000,10935714.285714285,0.4,13413888.888888888,False,True
4.0,3.0,0,895000.0,895000,895000.0,4.4,895000.0,False,False
4.0,4.0,1,6950000.0,6950000,9814062.5,0.2,10902901.452554744,False,False
6.0,5.0,1,11071934.513219284,9295000,10549807.615384616,0.8,10167999.966666667,True,False
6.0,7.0,1,11071934.513219284,15000000,15000000.0,0.4,11429166.666666666,True,False
8.0,5.0,1,11071934.513219284,8000000,9200000.0,1.5,8499444.444444444,True,False
4.0,4.0,0,11071934.513219284,19750000,10746666.666666666,0.0,14600000.0,False,True
6.0,6.0,0,11071934.513219284,12300000,9814062.5,0.5,12067706.25,False,False
4.0,6.0,1,11071934.513219284,8950000,10746666.666666666,0.2,7992857.142857143,False,True
6.0,6.0,0,15386875.0,7500000,14365500.0,0.1,13577111.111111112,True,False
3.0,3.0,0,11071934.513219284,6250000,6412000.0,0.1,6412000.0,False,True
3.0,3.0,2,11071934.513219284,6250000,11798275.827586208,0.3,15933333.333333334,True,False
6.0,6.0,1,11071934.513219284,35000000,18819833.333333332,0.4,12944750.0,True,False
2.0,3.0,2,11071934.513219284,9750000,9200000.0,0.1,9333333.333333334,True,False
3.0,3.0,0,11071934.513219284,7995000,11442000.0,0.4,11402571.42857143,False,True
5.0,6.0,1,11071934.513219284,11251000,10517781.25,0.2,9848590.909090908,False,True
3.0,1.0,0,11071934.513219284,7618000,11352109.375,0.3,9693870.967741935,False,True
4.0,4.0,1,11071934.513219284,14950000,15975000.0,0.1,14950000.0,False,False
7.0,5.0,1,11071934.513219284,16950000,20300000.0,0.4,13255600.0,True,False
4.0,3.0,0,11071934.513219284,10950000,10935714.285714285,0.3,13413888.888888888,False,True
7.0,9.0,1,11071934.513219284,18000000,8988333.333333334,0.2,8957307.692307692,False,True
3.0,3.0,1,12685000.0,7950000,10355555.555555556,0.2,13234855.072463768,False,True
3.0,4.0,1,11071934.513219284,7850000,11750000.0,0.2,10612500.0,False,True
7.0,5.0,1,11071934.513219284,6500000,6250000.0,0.4,6500000.0,True,False
3.0,4.0,1,11071934.513219284,11500000,13016729.487179488,0.1,13234855.072463768,False,True
3.0,3.0,1,11071934.513219284,6500000,6500000.0,0.3,15785714.285714285,False,True
4.0,5.0,0,11071934.513219284,11950000,11352109.375,0.3,12944750.0,True,False
4.0,3.0,0,17000000.0,17000000,15975000.0,0.1,10638888.777777778,False,True
3.0,3.0,0,11071934.513219284,8950000,13016729.487179488,0.2,10902901.452554744,False,True
3.0,3.0,0,11071934.513219284,10950000,13016729.487179488,0.2,13234855.072463768,False,True
4.0,4.0,1,8116666.666666667,7850000,9814062.5,0.1,12067706.25,True,False
4.0,3.0,0,11870800.0,12000000,10746666.666666666,0.2,11820000.0,False,False
5.0,5.0,0,11362500.0,17250000,12577272.727272727,0.3,13255600.0,True,False
6.0,5.0,2,11071934.513219284,28000000,18819833.333333332,0.2,13234855.072463768,True,False
3.0,1.0,1,11071934.513219284,599995,599995.0,0.3,599995.0,True,False
3.0,3.0,0,11071934.513219284,9500000,11352109.375,0.3,12944750.0,False,True
2.0,2.0,0,12464285.714285715,6950000,13016729.487179488,0.1,12067706.25,False,False
4.0,4.0,0,11071934.513219284,9500000,14261538.461538462,0.3,13577111.111111112,False,True
3.0,3.0,1,11071934.513219284,7350000,14365500.0,0.3,18116666.666666668,False,True
4.0,3.0,1,11071934.513219284,8250000,9814062.5,0.2,9915760.869565217,True,False
7.0,4.0,0,11071934.513219284,16500000,11725000.0,0.4,16500000.0,True,False
